Created on 07-22-2018,http://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-09 09-AM,NEOUSD,38.92,38.92,38.22,38.22,240.29,9229.25
2018-07-09 08-AM,NEOUSD,38.95,38.95,38.66,38.92,187.56,7269.58
2018-07-09 07-AM,NEOUSD,38.44,38.95,38.24,38.95,137.55,5311.01
2018-07-09 06-AM,NEOUSD,38.28,38.8,38.24,38.44,343.23,13203.96
2018-07-09 05-AM,NEOUSD,38.49,38.66,38.28,38.28,817.11,31395.54
2018-07-09 04-AM,NEOUSD,38.8,38.8,38.49,38.49,152.76,5881.62
2018-07-09 03-AM,NEOUSD,37.82,38.85,37.82,38.8,1844.89,71402.23
2018-07-09 02-AM,NEOUSD,38.28,38.48,37.8,37.82,2867.32,108986.57
2018-07-09 01-AM,NEOUSD,38.56,38.56,38.28,38.28,653.34,25016.17
2018-07-09 12-AM,NEOUSD,39.14,39.18,38.5,38.56,659.32,25570.92
2018-07-08 11-PM,NEOUSD,39.8,39.91,38.8,39.14,1125.15,44026.78
2018-07-08 10-PM,NEOUSD,40.2,40.2,39.55,39.8,248.01,9907.62
2018-07-08 09-PM,NEOUSD,39.65,40.2,39.65,40.2,337.77,13514.79
2018-07-08 08-PM,NEOUSD,39.85,39.93,39.55,39.65,40.24,1594.51
2018-07-08 07-PM,NEOUSD,39.37,39.85,39.37,39.85,284.22,11269.47
2018-07-08 06-PM,NEOUSD,39.76,39.81,39.37,39.37,117.8,4643.46
2018-07-08 05-PM,NEOUSD,39.78,39.81,39.62,39.76,74.77,2969.24
2018-07-08 04-PM,NEOUSD,39.83,40,39.37,39.78,82.62,3279.47
2018-07-08 03-PM,NEOUSD,39.5,40.32,39.29,39.83,710.32,28271.33
2018-07-08 02-PM,NEOUSD,39.2,39.55,38.72,39.5,1944.2,75845.47
2018-07-08 01-PM,NEOUSD,39.43,39.62,38.98,39.2,1192.24,46673.33
2018-07-08 12-PM,NEOUSD,39.64,40.03,39.43,39.43,403.5,16119.34
2018-07-08 11-AM,NEOUSD,39.27,39.64,39.03,39.64,497.04,19538.24
2018-07-08 10-AM,NEOUSD,39.25,39.4,39,39.27,185.62,7310.1
2018-07-08 09-AM,NEOUSD,39.74,39.82,38.85,39.25,1074.24,42308.48
2018-07-08 08-AM,NEOUSD,40.06,40.06,39.1,39.74,809.69,31847.62
2018-07-08 07-AM,NEOUSD,40.39,40.75,39.57,40.06,755.35,30438.23
2018-07-08 06-AM,NEOUSD,40.34,40.9,40.34,40.39,1478.89,60068.16
2018-07-08 05-AM,NEOUSD,39.72,40.4,39.55,40.34,1625.7,64929.32
2018-07-08 04-AM,NEOUSD,39.25,39.9,38.98,39.72,1003.41,39405.33
2018-07-08 03-AM,NEOUSD,39.21,39.68,39.21,39.25,857.89,33851.31
2018-07-08 02-AM,NEOUSD,38.8,39.23,38.51,39.21,310.92,12145.64
2018-07-08 01-AM,NEOUSD,38.94,39.25,38.8,38.8,646.74,25183.89
2018-07-08 12-AM,NEOUSD,38.7,39.84,38.51,38.94,1965.93,77289.24
2018-07-07 11-PM,NEOUSD,37.1,38.7,37,38.7,2448.38,93637.28
2018-07-07 10-PM,NEOUSD,36.68,37.1,36.4,37.1,342.53,12596.11
2018-07-07 09-PM,NEOUSD,36.4,36.75,36.4,36.68,2.72,99.69
2018-07-07 08-PM,NEOUSD,36.5,36.76,36.4,36.4,168.52,6137.34
2018-07-07 07-PM,NEOUSD,36.49,36.85,36.49,36.5,225.14,8288.58
2018-07-07 06-PM,NEOUSD,36.85,36.86,36.47,36.49,116.95,4296.44
2018-07-07 05-PM,NEOUSD,36.68,36.85,36.39,36.85,94.14,3467.18
2018-07-07 04-PM,NEOUSD,36.59,36.93,36.39,36.68,72.75,2657.03
2018-07-07 03-PM,NEOUSD,36.55,36.59,36.33,36.59,18.69,682.33
2018-07-07 02-PM,NEOUSD,36.4,36.55,36.16,36.55,373.71,13617.78
2018-07-07 01-PM,NEOUSD,36.69,36.69,36.16,36.4,523.84,19097.67
2018-07-07 12-PM,NEOUSD,36.83,37.23,36.63,36.69,324.28,11984.38
2018-07-07 11-AM,NEOUSD,37.23,37.23,36.83,36.83,180.02,6693.67
2018-07-07 10-AM,NEOUSD,37.23,37.4,36.9,37.23,130.54,4828.73
2018-07-07 09-AM,NEOUSD,37.12,37.23,37.1,37.23,357.51,13272.36
2018-07-07 08-AM,NEOUSD,36.9,37.23,36.9,37.12,297.76,11054.06
2018-07-07 07-AM,NEOUSD,37.09,37.23,36.9,36.9,72.72,2702.86
2018-07-07 06-AM,NEOUSD,37.23,37.23,36.63,37.09,473.62,17486.33
2018-07-07 05-AM,NEOUSD,37.05,37.23,36.91,37.23,107.85,4009.48
2018-07-07 04-AM,NEOUSD,36.85,37.41,36.72,37.05,425.54,15764.81
2018-07-07 03-AM,NEOUSD,36.85,36.97,36.7,36.85,147.17,5414.35
